Date,VH,Team,Pitcher,Open
2017-04-24,V,WAS,JTURNER-R,-120
2017-04-24,H,COL,TANDERSON-L,110
2017-04-24,V,SDG,JCHACIN-R,152
2017-04-24,H,ARI,ZGREINKE-R,-172
2017-04-24,V,LOS,HRYU-L,-120
2017-04-24,H,SFO,MCAIN-R,110
2017-04-24,V,KAN,JVARGAS-L,-104
2017-04-24,H,CWS,MGONZALEZ-R,-106
2017-04-24,V,MIN,PHUGHES-R,111
2017-04-24,H,TEX,MPEREZ-L,-126
2017-04-24,V,TAM,CARCHER-R,-120
2017-04-24,H,BAL,UJIMENEZ-R,110
2017-04-24,V,TOR,FLIRIANO-L,112
2017-04-24,H,LAA,JCHAVEZ-R,-122
2017-04-25,V,CUB,KHENDRICKS-R,-115
2017-04-25,H,PIT,GCOLE-R,105
2017-04-25,V,CIN,SFELDMAN-R,112
2017-04-25,H,MIL,ZDAVIES-R,-127
2017-04-25,V,WAS,JROSS-R,-125
2017-04-25,H,COL,GMARQUEZ-R,110
2017-04-25,V,SDG,CRICHARD-L,121
2017-04-25,H,ARI,PCORBIN-L,-136
2017-04-25,V,LOS,CKERSHAW-L,-220
2017-04-25,H,SFO,TBLACH-L,195
2017-04-25,V,HOU,DKEUCHEL-L,-111
2017-04-25,H,CLE,JTOMLIN-R,101
2017-04-25,V,TAM,APRUITT-R,140
2017-04-25,H,BAL,WMILEY-L,-155
2017-04-25,V,SEA,FHERNANDEZ-R,100
2017-04-25,H,DET,JZIMMERMANN-R,-110
2017-04-25,V,MIN,ESANTANA-R,-105
2017-04-25,H,TEX,ACASHNER-R,-105
2017-04-25,V,KAN,DDUFFY-L,-135
2017-04-25,H,CWS,DCOVEY-R,120
2017-04-25,V,OAK,JHAHN-R,110
2017-04-25,H,LAA,JRAMIREZ-R,-125
2017-04-25,V,TOR,MESTRADA-R,125
2017-04-25,H,STL,MWACHA-R,-140
2017-04-26,V,CIN,RDAVIS-R,110
2017-04-26,H,MIL,WPERALTA-R,-120
2017-04-26,V,CUB,JLESTER-L,-162
2017-04-26,H,PIT,TGLASNOW-R,142
2017-04-26,V,MIA,WCHEN-L,101
2017-04-26,H,PHI,VVELASQUEZ-R,-111
2017-04-26,V,ATL,JTEHERAN-R,170
2017-04-26,H,NYM,RGSELLMAN-R,-190
2017-04-26,V,WAS,TROARK-R,107
2017-04-26,H,COL,TCHATWOOD-R,-117
2017-04-26,V,SDG,TCAHILL-R,110
2017-04-26,H,ARI,ZGODLEY-R,-125
2017-04-26,V,LOS,AWOOD-L,101
2017-04-26,H,SFO,JCUETO-R,-111
2017-04-26,V,HOU,LMCCULLERS-R,-113
2017-04-26,H,CLE,TBAUER-R,103
2017-04-26,V,TAM,ACOBB-R,121
2017-04-26,H,BAL,DBUNDY-R,-136
2017-04-26,V,NYY,LSEVERINO-R,108
2017-04-26,H,BOS,RPORCELLO-R,-118
2017-04-26,V,SEA,JPAXTON-L,-111
2017-04-26,H,DET,DNORRIS-L,101
2017-04-26,V,MIN,HSANTIAGO-L,125
2017-04-26,H,TEX,CHAMELS-L,-140
2017-04-26,V,KAN,NKARNS-R,125
2017-04-26,H,CWS,JQUINTANA-L,-140
2017-04-26,V,OAK,SMANAEA-L,125
2017-04-26,H,LAA,MSHOEMAKER-R,-140
2017-04-27,V,MIA,EVOLQUEZ-R,107
2017-04-27,H,PHI,JHELLICKSON-R,-117
2017-04-27,V,ATL,RDICKEY-R,170
2017-04-27,H,NYM,MHARVEY-R,-190
2017-04-27,V,WAS,GGONZALEZ-L,-116
2017-04-27,H,COL,ASENZATELA-R,106
2017-04-27,V,LOS,JURIAS-L,-126
2017-04-27,H,SFO,MMOORE-L,111
2017-04-27,V,SDG,JWEAVER-R,136
2017-04-27,H,ARI,TWALKER-R,-151
2017-04-27,V,SEA,HIWAKUMA-R,131
