Date,Team,PITCHER
2019-04-25,MIA,Smith
2019-04-25,PHI,Nola
2019-04-25,DET,Zimmermann
2019-04-25,BOS,Porcello
2019-04-25,CLE,Bauer
2019-04-25,HOU,Cole
2019-04-25,NYY,Tanaka
2019-04-25,LAA,Cahill
2019-04-25,TEX,Hearn
2019-04-25,SEA,Gonzales
2019-04-26,MIA,Urena
2019-04-26,PHI,Eickhoff
2019-04-26,SDG,Strahm
2019-04-26,WAS,Scherzer
2019-04-26,MIL,Anderson
2019-04-26,NYM,Degrom
2019-04-26,COL,Senzatela
2019-04-26,ATL,Fried
2019-04-26,CIN,Desclafani
2019-04-26,STL,Mikolas
2019-04-26,CUB,Hendricks
2019-04-26,ARI,Ray
2019-04-26,PIT,Archer
2019-04-26,LAD,Ryu
2019-04-26,OAK,Fiers
2019-04-26,TOR,Stroman
2019-04-26,BAL,Cobb
2019-04-26,MIN,Perez
2019-04-26,DET,Norris
2019-04-26,CWS,Rodon
2019-04-26,CLE,Kluber
2019-04-26,HOU,Mchugh
2019-04-26,LAA,Skaggs
2019-04-26,KAN,Duffy
2019-04-26,TEX,Miller
2019-04-26,SEA,Kikuchi
2019-04-26,NYY,Paxton
2019-04-26,SFO,Bumgarner
2019-04-27,CIN,Mahle
2019-04-27,STL,Hudson
2019-04-27,SDG,Lauer
2019-04-27,WAS,Strasburg
2019-04-27,MIA,Richards
2019-04-27,PHI,Arrieta
2019-04-27,MIL,Woodruff
2019-04-27,NYM,Syndergaard
2019-04-27,COL,Gray
2019-04-27,ATL,Foltynewicz
2019-04-27,CUB,Darvish
2019-04-27,ARI,Godley
2019-04-27,PIT,Musgrove
2019-04-27,LAD,Kershaw
2019-04-27,BAL,Straily
2019-04-27,MIN,Berrios
2019-04-27,OAK,Anderson
2019-04-27,TOR,Sanchez
2019-04-27,CLE,Bieber
2019-04-27,HOU,Peacock
2019-04-27,TAM,Morton
2019-04-27,BOS,Price
2019-04-27,LAA,Barria
2019-04-27,KAN,Lopez
2019-04-27,TEX,Minor
2019-04-27,SEA,Leake
2019-04-27,NYY,Happ
2019-04-27,SFO,Holland
2019-04-28,MIA,Lopez
2019-04-28,PHI,Eflin
2019-04-28,MIL,Gonzalez
2019-04-28,NYM,Matz
2019-04-28,COL,Anderson
2019-04-28,ATL,Gausman
2019-04-28,SDG,Lucchesi
